Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2023-01-03,123.47061920166016,129.22606012096526,122.58212678977998,128.61399342864948,112117500
1,2023-01-04,124.7441177368164,127.01470850998557,123.48048749262259,125.26733892869382,89113600
2,2023-01-05,123.4212417602539,126.13607477860468,123.16457206143644,125.50425969688034,80962700
3,2023-01-06,127.9624252319336,128.6238555191488,123.29291630250204,124.39859654565812,87754700
4,2023-01-09,128.4856414794922,131.70396238313268,128.22897177101316,128.80155656407595,70790800
5,2023-01-10,129.0582275390625,129.58144872233615,126.48160347682453,128.5942366688145,63896200
6,2023-01-11,131.78294372558594,131.8026771210122,128.7916923794983,129.57158328133335,69458900
7,2023-01-12,131.70396423339844,132.5430854442494,129.75915527463124,132.16795510561155,71379600
8,2023-01-13,133.0366973876953,133.19465493922883,129.97634891095512,130.34161256817276,57809700
9,2023-01-17,134.2016143798828,135.53434166770566,132.4147629011091,133.10580835372033,63646600
10,2023-01-18,133.48094177246094,136.83745656269951,133.30323577852656,135.0703537024429,69672800
11,2023-01-19,133.54017639160156,134.50763996952077,132.05935833689125,132.3653916580124,58280400
12,2023-01-20,136.10691833496094,136.25500917828725,132.5036004355903,133.55004278165805,80223600
13,2023-01-23,139.3054962158203,141.4872415250396,136.136538833656,136.3537266947968,81760300
14,2023-01-24,140.70733642578125,141.32928485597137,138.50585770726414,138.51572440513698,66435100
15,2023-01-25,140.04591369628906,140.60861677861874,137.03491367991992,139.0883167228264,65799300
16,2023-01-26,142.1190643310547,142.4053492196724,140.08539469738815,141.33915831562229,54105100
17,2023-01-27,144.06385803222656,145.34723680622537,141.25031251687773,141.3292912944412,70555800
18,2023-01-30,141.17132568359375,143.68871946900538,141.02324989890042,143.10626796433064,64015300
19,2023-01-31,142.44482421875,142.49418783542103,140.46053336332577,140.87516062877287,65874500
20,2023-02-01,143.57025146484375,144.7351696002277,139.51282411039048,142.1289302044529,77663600
21,2023-02-02,148.891357421875,149.24673936752703,146.27523594496205,146.9958966630842,118339000
22,2023-02-03,152.52426147460938,155.36743699431324,145.93955891955838,146.13699831650217,154357300
23,2023-02-06,149.78968811035156,151.14217893420934,148.85183962560956,150.61895772492184,69858300
24,2023-02-07,152.67234802246094,153.24493285853742,148.71363285221915,148.71363285221915,83322600
25,2023-02-08,149.97726440429688,152.60325227526124,149.2368553096487,151.91220679965525,64120100
26,2023-02-09,148.940673828125,152.35643407265164,148.49643142830433,151.81346444457745,56007100
27,2023-02-10,149.3065185546875,149.63279778324025,147.5367173791987,147.77401547814478,57450700
28,2023-02-13,152.11448669433594,152.5198501850578,149.21753098880535,149.24719136406156,62199000
29,2023-02-14,151.47181701660156,152.03539434579272,149.15821711991074,150.40399819813007,61707600
30,2023-02-15,153.57778930664062,153.74586979762776,151.15542974516777,151.38283098748437,65573800
31,2023-02-16,151.97605895996094,154.5664988468429,151.6201193880744,151.77830301928833,68167900
32,2023-02-17,150.8291473388672,151.2740680510971,149.1483273778538,150.63140647639398,59144100
33,2023-02-21,146.80502319335938,149.5932185903814,146.73582069413777,148.50562143126123,58867200
34,2023-02-22,147.23020935058594,148.2584708875877,145.4999504020457,147.19065212608928,51011300
35,2023-02-23,147.71466064453125,148.6440592209031,145.57903837527164,148.3968793904493,48394200
36,2023-02-24,145.0550079345703,145.5295889507278,144.07617044500316,145.45048960025846,55469600
37,2023-02-27,146.2513885498047,147.4872879410314,145.78668917177046,146.0437659006096,44998500
38,2023-02-28,145.74713134765625,147.3982909462784,145.17367228142913,145.39119175781394,50547000
39,2023-03-01,143.67080688476562,145.56914623363537,143.37418806129784,145.17366452678502,55479000
40,2023-03-02,144.26406860351562,145.05504723585858,142.27673271533786,142.75132894674115,52238100
41,2023-03-03,149.3262939453125,149.4053933099208,145.66803508048022,146.3700174255545,70732300
42,2023-03-06,152.09471130371094,154.53684949594242,151.72888994336137,152.05515407809082,87558000
43,2023-03-07,149.88986206054688,152.29244288057856,149.42516275115915,151.96616367909397,56182000
44,2023-03-08,151.14552307128906,151.73876071934626,150.11726157953802,151.08620232381537,47204800
45,2023-03-09,148.89125061035156,152.79668921738386,148.53531102339875,151.82774843104707,53833600
46,2023-03-10,146.8248291015625,149.23730682187812,145.94486944980744,148.51554589298388,68572400
47,2023-03-13,148.7726287841797,151.41250811707283,146.03387146368914,146.1426312153812,84457100
48,2023-03-14,150.86868286132812,151.66954312555754,148.40678132116508,149.57346291926225,73695900
49,2023-03-15,151.26419067382812,151.5212522938301,148.2288147892157,149.48449268664993,77167900
50,2023-03-16,154.09194946289062,154.69506899796588,149.9294334770987,150.44357187257182,76161100
51,2023-03-17,153.2515106201172,154.97188784795392,152.53963142836827,154.31932940774055,98944600
52,2023-03-20,155.6244354248047,156.03971087014546,152.4110972116962,153.3207323821306,73641400
